NOM;VERSION;ETAT;DATE;LIEN
Psss;2.4;stable;13/04/2023;https://github.com/tatascorp/mavapps/tree/main/MAVAPPS/Psss
Oups;3.16;stable;16/08/2023;https://github.com/tatascorp/mavapps/tree/main/MAVAPPS/Oups
TransP;5.1;stable;14/11/2023;https://github.com/tatascorp/mavapps/tree/main/MAVAPPS/TransP
RecupSerialName;1.7;stable;23/11/2023;https://github.com/tatascorp/mavapps/tree/main/MAVAPPS/RecupSerialName
CoCli;1.4;stable;24/10/2023;https://github.com/tatascorp/mavapps/tree/main/MAVAPPS/CoCli
ZyCrack;1.5;stable;27/11/2023;https://github.com/tatascorp/mavapps/tree/main/MAVAPPS/ZyCrack
ADCheck;1.3;stable;22/12/2022;https://github.com/tatascorp/mavapps/tree/main/MAVAPPS/ADCheck
VPC;1.3;stable;16/10/2023;https://github.com/tatascorp/mavapps/tree/main/MAVAPPS/VPC
WhishNET;1.2;stable;06/11/2023;https://github.com/tatascorp/mavapps/tree/main/MAVAPPS/WhishNET
copier-taper;1.2;stable;18/01/2024;https://github.com/tatascorp/mavapps/tree/main/MAVAPPS/copier-taper
